,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
173,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
174,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
175,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
176,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
177,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
178,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
179,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
180,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
181,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
182,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
183,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
184,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
185,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
186,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
187,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
188,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
189,XH,IDA blend,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
190,XI,IDA only,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
191,XI,IDA only,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
192,XI,IDA only,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
